No.,FI/ファセット,ドット,説明,補足説明,関連分野,テーマコード
103,H04N5/50,2,同調指示器；自動同調制御［４］,"【ＩＰＣタイトル】 Tuning indicators; Automatic tuning control [1, 4, 2006.01]",-,5C026
104,"H04N5/50,050",3,不可視または無音同調,選局時に映像の表示または音声の発音を停止するもの,Ｈ０４Ｎ５／４４＠Ｍ（受信機回路：ミューティング）,5C026
105,H04N5/52,2,自動利得制御［４］,"【ＩＰＣタイトル】 Automatic gain control [1, 4, 2006.01] 自動利得制御。 ＡＧＣ。 平均値形ＡＧＣ。 先頭値形ＡＧＣ。",-,5C026
106,H04N5/53,3,キード自動利得制御［４］,"【ＩＰＣタイトル】 Keyed automatic gain control [4, 2006.01] キード自動利得制御 （キードＡＧＣ ――― テレビ映像信号から同期信号を抽出し、この抽出した同期信号レベルに応じて自動利得制御を行うもの）",-,5C026
107,H04N5/54,3,正変調映像信号のためのもの（Ｈ０４Ｎ５／５３が優先）［４］,"【ＩＰＣタイトル】 for positively-modulated picture signals (H04N 5/53 takes precedence) [1, 4, 2006.01]",-,5C026
108,H04N5/56,3,負変調映像信号のためのもの（Ｈ０４Ｎ５／５３が優先）［４］,"【ＩＰＣタイトル】 for negatively-modulated picture signals (H04N 5/53 takes precedence) [1, 4, 2006.01]",-,5C026
109,H04N5/57,2,コントラストまたは輝度の調整［４］,"【ＩＰＣタイトル】 Control of contrast or brightness [4, 2006.01]",-,5C026
110,H04N5/58,3,周囲の明るさに依存するもの［４］,"【ＩＰＣタイトル】 in dependence upon ambient light [1, 4, 2006.01]",G09G,5C026
111,H04N5/59,3,陰極線管のビーム電流に依存するもの［４］,"【ＩＰＣタイトル】 in dependence upon beam current of cathode ray tube [4, 2006.01]",-,5C026
112,H04N5/60,2,音声信号用,"【ＩＰＣタイトル】 for the sound signals [1, 2006.01]",H04N5/44,5C026
113,"H04N5/60,020",3,デジタル音声信号用,音声信号をデジタル処理するもの,-,5C026
114,"H04N5/60,050",3,ＮＩＣＡＭ　システムに準ずるもの,ＰＡＬ方式またはＳＥＣＡＭ方式におけるデジタル音声圧縮方式による準瞬時圧伸音声多重であるもの,-,5C026
115,"H04N5/60,070",3,２以上の音声信号，例．ステレオまたは複数言語（Ｈ０４Ｎ５／６０，０２０が優先）,音声信号が音声多重信号であるもの,-,5C026
116,H04N5/62,3,インターキャリヤ回路，すなわち音声と映像の搬送波をヘテロダインするもの,"【ＩＰＣタイトル】 Intercarrier circuits, i.e. heterodyning sound and vision carriers [1, 2006.01]",-,5C026
117,H04N5/63,1,テレビジョン受像機に特に適合する電力の発生または供給［４］,"【ＩＰＣタイトル】 Generation or supply of power specially adapted for television receivers [4, 2006.01]",H04B1/16@U（受信機の電源）,5C026
118,H04N5/64,1,受信機の構造の細部，例．キャビネットまたはダストカバー（家具としての特徴を有するものＡ４７Ｂ８１／０６）［２］,"【ＩＰＣタイトル】 Constructional details of receivers, e.g. cabinets or dust covers (furniture aspects A47B 81/06) [1, 2, 2006.01]",G09F9/00要素組み合わせによる可変情報用表示装置 G02B光学要素，光学系，または光学装置,5C069
119,"H04N5/64,501",2,外観上のタイプまたは用途に特徴のあるもの,-,-,5C069
120,"H04N5/64,501@A",0,コ－ナ－用ＴＶ（部屋の隅などに設置するための形状（例．三角形）をしたＴＶ）,-,-,5C069
121,"H04N5/64,501@B",0,複数・親子ＴＶ（複数の表示画面（ＣＲＴ）を備えたもの）,-,-,5C069
122,"H04N5/64,501@C",0,テ－ブル内蔵ＴＶ（テ－ブル、机等の内部に取り付けたもの）,-,-,5C069
123,"H04N5/64,501@D",0,プロジエクト型ＴＶ（映写型テレビジヨンの構造）（Ｈ０４Ｎ５／７４を参照）,-,-,5C069
124,"H04N5/64,501@Z",0,その他,-,-,5C069
125,"H04N5/64,511",3,小型ＴＶ（ポ－タブル）,-,-,5C069
126,"H04N5/64,511@A",0,ヘツドビユア－（Ｈｅａｄ　ｖｉｅｗｅｒ）型ＴＶ,"（１）テレビジョン方式ヘッドマウントディスプレーの、光学系を除いた機械的構造にのみ特徴を有する発明の主分類はH04N5/64,511@Aとし、G02B27/02@Zは副分類としても付与しない。 （２）テレビジョン方式ヘッドマウントディスプレーの、光学系にのみ特徴を有する発明の主分類はG02B27/02@Zとする。 （３）テレビジョン方式ヘッドマウントディスプレーの、光学系を含む機械的構造を有する発明で、上記（１）及び（２）に該当しない場合は、光学系により重きのある発明はG02B27/02@Zを主分類、H04N5/64,511@Aを副分類とし、そうでない場合はH04N5/64,511@Aを主分類、G02B27/02@Zを副分類とする。",H04N13/04立体テレビジョン方式の画像再生装置 G02B27/02@Z観察読取装置・その他,5C069
127,"H04N5/64,511@B",0,小型ＣＲＴ・ＴＶ,-,-,5C069
128,"H04N5/64,511@F",0,液晶小型ＴＶ,-,-,5C069
129,"H04N5/64,511@Z",0,その他,-,-,5C069
130,"H04N5/64,521",3,車載・高位置設置ＴＶ,-,-,5C069
131,"H04N5/64,521@B",0,車載用ＴＶ（ＣＲＴを用いたもの）,-,-,5C069
132,"H04N5/64,521@F",0,車載用ＴＶ（液晶等の平板型のもの）,-,-,5C069
133,"H04N5/64,521@P",0,高位置設置ＴＶ,-,-,5C069
134,"H04N5/64,521@Z",0,その他,-,-,5C069
135,"H04N5/64,531",3,複合ＴＶ（ＶＴＲ、ラジオ、パチンコ、時計等の他の装置と合体したＴＶ）,-,-,5C069
136,"H04N5/64,541",2,適視位置の指示，物理的障害の除去，音に関するもの,-,-,5C069
137,"H04N5/64,541@A",0,適視位置を指示するもの,-,-,5C069
138,"H04N5/64,541@D",0,シ－ルド、ア－ス、帯電防止、防塵,-,-,5C069
139,"H04N5/64,541@J",0,放熱・通風効果を目的とするもの,-,-,5C069
140,"H04N5/64,541@N",0,音響効果を目的とするもの,-,-,5C069
141,"H04N5/64,541@Z",0,その他,-,-,5C069
142,"H04N5/64,551",2,受信機の部分的構造,-,-,5C069
143,"H04N5/64,551@A",0,チユ－ナ（外形、箱の構造に関するもの）,-,-,5C069
144,"H04N5/64,551@B",0,チヤンネル選局（選局用押釦メカニズム）,-,-,5C069
145,"H04N5/64,551@C",0,チヤンネル表示装置,-,-,5C069
146,"H04N5/64,551@D",0,テレビチヤンネル以外の表示装置,-,-,5C069
147,"H04N5/64,551@E",0,フイ－ダ・アンテナ・コ－ドの取付,-,-,5C069
148,"H04N5/64,551@F",1,フイ－ダの取付,-,-,5C069
149,"H04N5/64,551@G",1,アンテナの取付,-,-,5C069
150,"H04N5/64,551@H",1,コ－ドの取付,-,-,5C069
151,"H04N5/64,551@J",0,遠隔制御装置の収納（リモ－トコントロ－ル）,-,-,5C069
152,"H04N5/64,551@Q",0,収納（電池等）ケ－ス,-,-,5C069
153,"H04N5/64,551@R",0,調整端子用扉・蓋,-,-,5C069
154,"H04N5/64,551@Z",0,その他,-,-,5C069
155,"H04N5/64,571",3,キヤビネツト,-,-,5C069
156,"H04N5/64,571@A",0,飾り桟及びパネルの取付（取付及び取付部品）,-,-,5C069
157,"H04N5/64,571@E",0,裏蓋,-,-,5C069
158,"H04N5/64,571@F",1,ネツク部保護カバ－,-,-,5C069
159,"H04N5/64,571@J",0,フード・扉・幕,-,-,5C069
160,"H04N5/64,571@N",0,把手（とつて）,-,-,5C069
161,"H04N5/64,571@Q",0,キヤビネツト本体（胴体）,-,-,5C069
162,"H04N5/64,571@Z",0,その他,-,-,5C069
163,"H04N5/64,581",3,テレビジヨンの台・足,-,-,5C069
164,"H04N5/64,581@A",0,固定のもの、テレビ台、載置台、固定脚,-,-,5C069
165,"H04N5/64,581@C",0,可動スタンド,-,-,5C069
166,"H04N5/64,581@E",1,全方向（上下左右）に動くもの,-,-,5C069
167,"H04N5/64,581@G",1,回転載置台（ＴＶセツトと別体のもの）,-,-,5C069
168,"H04N5/64,581@H",1,回転機構（ＴＶセツトと一体になつているもの）,-,-,5C069
169,"H04N5/64,581@K",1,上下に揺動するもの,-,-,5C069
170,"H04N5/64,581@M",1,ネツク軸を中心にして画面が回転するもの,-,-,5C069
171,"H04N5/64,581@P",1,スタンド、セツト脚等によりポツプアツプするもの,-,-,5C069
172,"H04N5/64,581@R",1,キヤビネツト内部でブラウン管が回転するもの,-,-,5C069
173,"H04N5/64,581@T",1,ＴＶセツト全体が上下動するもの,-,-,5C069
174,"H04N5/64,581@Z",0,その他（例：製造行程における載置台）,-,-,5C069
175,H04N5/645,2,シャシまたはハウジングへの受像管の実装,"【ＩＰＣタイトル】 Mounting of picture tube on chassis or in housing [1, 2006.01]",-,5C069
176,H04N5/65,2,保護板または前面マスク用保持装置,"【ＩＰＣタイトル】 Holding-devices for protective discs or for picture masks [1, 2006.01]",-,5C069
177,H04N5/655,2,シャシの構造または取付けたとえば受像管の高さを変えるためのもの,"【ＩＰＣタイトル】 Construction or mounting of chassis, e.g. for varying the elevation of the tube [1, 2006.01]",-,5C069
178,H04N5/66,1,電気信号の光信号への変換（走査の細部Ｈ０４Ｎ３／００）,"【ＩＰＣタイトル】 Transforming electric information into light information (scanning details H04N 3/00) [1, 2006.01] テレビジョンの表示部。カラーを前提とするものには付与しない。 明細書中にテレビジョンの表示装置である旨が記載されていれば、主分類を付与する。コンピュータ、ワープロ等の情報機器の表示部に特有のものには付与しない。",H04N5/14（映像周波数帯域用の映像信号回路） H04N5/44-5/62（受信機回路） H04N5/64-5/655（受信機の構造、実装） H04N9/12-9/31（カラー表示装置）,5C058
179,H04N5/66@A,0,輝度制御；階調制御等の信号処理に関するもの,表示装置の特性や構造を利用して輝度・階調を制御するもの。例、パルス幅変調して発光時間を変えることにより、輝度を変えるもの。 右の関連分類を優先,H04N5/20（振幅レスポンス制御用回路） H04N5/202（ガンマ補正） H04N5/57（コントラストまたは輝度の調整）,5C058
180,H04N5/66@B,0,表示装置の駆動制御に関するもの,液晶、ＬＥＤ等の表示素子の特定のないもの。マトリックスによる時分割駆動表示に関するものが多い。表示素子の特定されているものは、それぞれのＦＩを付与すれば十分である。,-,5C058
181,H04N5/66@C,0,画像情報の標本化に関するもの,特にマトリックス型表示装置は、表示素子が複数配列されているために、映像信号を標本化して各表示素子に入力させるものが多い。サンプリング処理、Ａ／Ｄ変換等。表示装置用ではない、一般的なＡ／Ｄ変換器には付与しない。,H04N7/13（パルス符号変調）,5C058
182,H04N5/66@D,0,特殊用途表示に関するもの，例．文字表示，２画面表示，拡大表示または異なるアスペクト比に対応するもの,対象がテレビであるもの 一般的な表示装置の拡大縮小、文字表示、マルチウインドウ等はG09G 表示部のみの処理ではなく、受信回路等を含むものは、H04N5/44～5/46,H04N5/445（付加的な情報を表示するためのもの） H04N5/45（PｉｎP） H04N7/01（標準方式の変換） G09G5/22（文字の表示） G09G5/32（表示位置の制御） G09G5/40（文字とパターンの表示）,5C058
183,H04N5/66@Z,0,その他のもの,表示装置に関するもので、他のＦＩに属さないもの。,-,5C058
184,"H04N5/66,101",2,ガス放電によるもの,プラズマディスプレイ 対象がテレビであるもの 対象が特定されていないものは、構造的なものはH01J61/00、駆動制御はG09G3/28,H01J61/00 G09G3/28,5C058
185,"H04N5/66,101@A",0,プラズマディスプレイパネルの構造に関するもの,-,H01J61/00,5C058
186,"H04N5/66,101@B",0,パネルの駆動；制御に関するもの,-,G09G3/28,5C058
187,"H04N5/66,101@C",0,アナログ信号をデジタル信号に変換して表示するもの,-,-,5C058
188,"H04N5/66,101@Z",0,その他のもの,プラズマディスプレイパネルに関するもので他のＦＩに属さないもの。,-,5C058
189,"H04N5/66,102",2,液晶によるもの,対象がテレビであるもの 一般的な液晶表示装置は、構造的なものはG02F1/13、駆動制御はG09G3/36,G02F1/13、G09G3/36,5C058
190,"H04N5/66,102@A",0,液晶表示パネルの構造に関するもの,各部の実装、配置等。バックライト、反射板、光拡散板等も含む。,G02F1/13,5C058
191,"H04N5/66,102@B",0,パネルの駆動；制御に関するもの,交流駆動、時分割駆動、タイミングクロック発生等。,G09G3/36,5C058
192,"H04N5/66,102@Z",0,その他のもの,液晶表示部の画質向上のための回路、γ補正、コントラスト調整、静止画表示等。,G09G3/36 H04N5/202（γ補正） H04N5/57（コントラスト調整）,5C058
193,"H04N5/66,103",2,発光ダイオードによるもの,-,-,5C058
194,"H04N5/66,104",2,電球によるもの,-,H04N5/66,5C058
195,"H04N5/66,105",2,蛍光灯によるもの,蛍光表示管（陰極線を蛍光体に照射して発光させるものをマトリクス状に配置する。管の内部に走査手段を有しない点で陰極線管と異なる。）によるものを含む。,-,5C058
196,H04N5/68,2,陰極線表示管用回路,"【ＩＰＣタイトル】 Circuit details for cathode-ray display tubes [1, 2006.01] 陰極線管の構造に特徴があるものには付与しない。カラーには付与しない。偏向、走査用回路には付与しない。 明細書中にテレビジョンの表示装置である旨が記載されていれば、主分類を付与する。コンピュータ、ワープロ等の情報機器の表示部に特有のものには付与しない。",H04N3/16-3/27（偏向用回路、帰線消去回路）,5C058
197,H04N5/68@A,0,陰極線管の電源回路に関するもの，例．ヒーター回路,ヒータ回路等。,-,5C058
198,H04N5/68@B,0,平板型陰極管テレビに関するもの,陰極線管は偏向させるため所定長の電子の飛距離が必要だが、偏向を工夫することで、管の奥行きを短くしたもの。管の構造そのものには付与しない。,-,5C058
199,H04N5/68@C,0,多数の陰極線管を用いて拡大表示を行うもの,マルチビジョン 対象がテレビであるもの 表示装置が陰極線管ではないものはH04N5/66@D,H04N5/66@D,5C058
200,H04N5/68@Z,0,その他のもの，例．フォーカス回路,-,-,5C058
201,H04N5/70,2,エレクトロルミネッセント装置用回路,"【ＩＰＣタイトル】 Circuit details for electroluminescent devices [1, 2006.01] 素子そのものには付与しない。(G02F1/15) カラーには付与しない。 明細書中にテレビジョンの表示装置である旨が記載されていれば、主分類を付与する。コンピュータ、ワープロ等の情報機器の表示部に特有のものには付与しない。",G02F1/15,5C058
202,H04N5/70@A,0,ＥＬ表示装置の駆動制御回路に関するもの,-,-,5C058
203,H04N5/70@B,0,ＥＬ表示装置の信号処理回路に関するもの,-,-,5C058
204,H04N5/70@C,0,記憶機能を有するＥＬ素子を用いるもの,-,-,5C058
205,H04N5/70@Z,0,その他のもの,ＥＬ表示装置用回路のその他のもの。,-,5C058
206,H04N5/72,1,光学フィルタまたは拡散スクリーンによるテレビジョン画像の修正,"【ＩＰＣタイトル】 Modifying the appearance of television pictures by optical filters or diffusing screens [1, 2006.01] 明細書中にテレビジョンの表示装置である旨が記載されていれば、主分類を付与する。コンピュータ、ワープロ等の情報機器の表示部に特有のものには付与しない。",H04N5/65（TV用前面板、マスクの取付）,5C058
207,H04N5/72@A,0,反射防止，防眩その他のフィルターをＣＲＴ面上に設けるもの（光学装置の有害光除去Ｇ０２Ｂ２７／００Ｃ）,-,-,5C058
208,H04N5/72@B,0,ブラウン管のスクリーンの変形等により画像修正を行うもの,-,-,5C058
209,H04N5/72@C,0,表示画像に対して特殊効果を付与するもの,表示画面の前面に設けた光学系により、特殊効果を得るもの。,-,5C058
210,H04N5/72@D,0,レンズを用いてブラウン管の映像を拡大するもの,-,-,5C058
211,H04N5/72@Z,0,その他のもの,-,-,5C058
212,H04N5/74,1,映像再生のための投写装置，例．アイドホールを用いるもの,"【ＩＰＣタイトル】 Projection arrangements for image reproduction, e.g. using eidophor [1, 2006.01] 明細書中にテレビジョンの表示装置である旨が記載されていれば、主分類を付与する。 コンピュータ、ワープロ等の情報機器の表示部に特有のものには付与しない。 投射装置の構造に関するものはG03B21/00 投射装置であることに特徴がない一般的な表示の駆動制御はG09G",G03B21/00,5C058
213,H04N5/74@A,0,投写装置の光学系に関するもの,-,-,5C058
214,H04N5/74@B,0,投写装置に用いられる光弁；光変調器に関するもの,液晶以外で光源光の透過率を制御するもの。シュリーレン光学系、電気光学効果を利用するもの等。,-,5C058
215,H04N5/74@K,1,液晶を光弁として用いるもの,液晶で光源光の透過率を制御し、スクリーンに投写するもの。,-,5C058
216,H04N5/74@C,0,投写スクリーンに関するもの,スクリーンの取付も含む。テレビジョン特有のものでなければ、付与しない。,-,5C058
217,H04N5/74@D,0,画質改善のための信号処理回路に関するもの,輝度むら補正、位置ズレの補正等を回路で行うもの。 信号処理による台形補正。光学的なものはG03B21/00 カメラ等で表示画像を検出しながら調整を行うもの,G03B21/00 H04N17/04,5C058
218,H04N5/74@E,0,前面投写型装置の構造に関するもの,スクリーンの投写装置側から観察する投写型装置の構造。各部の配置等。,H04N5/64（キャビネット、台）,5C058
219,H04N5/74@F,0,背面投写型装置の構造に関するもの,スクリーンの観察側からみて裏側に投写装置があるもの。大型テレビジョンに多い。,H04N5/64（キャビネット、台）,5C058
220,H04N5/74@G,0,投写用受像管及びその周辺構造に関するもの,投写管の冷却等。投写型ＴＶに限定されていない陰極線管そのものやその冷却には、付与しない。,-,5C058
221,H04N5/74@H,0,光ファイバー；レーザー等により拡大投写するもの,投写装置であるから、スクリーンを有するものでなくてはならない。,H04N5/72（投写装置以外のTVの画面を拡大するもの。）,5C058
222,H04N5/74@Z,0,その他のもの,-,-,5C058
223,H04N5/76,1,テレビジョン信号の記録［３，４］,テレビジョン信号の記録に関するもので下位分類に展開されていないもの 例．自動削除、電源ON/OFF、記録装置の遠隔制御、記録動画の検索、ファイル管理,"H04N5/4403(テレビの遠隔制御) G06F17/30(検索) G06F12/00,520(ファイル管理)",5C052
224,"H04N5/76,050",2,ディスクまたはドラム上に記録するもの（Ｈ０４Ｎ５／７８１，Ｈ０４Ｎ５／８０，５００，Ｈ０４Ｎ５／８３，Ｈ０４Ｎ５／８５が優先）,磁気、静電、熱可塑性、光以外の記録方法でディスクまたはドラムに記録するもの,-,5C052
225,H04N5/761,2,録画のための時間をプログラムするシステム，すなわち，その時間になると事前に決めておいたテレビ・チャンネルが録画のために選ばれるもの［７］,録画予約,-,5C052
226,H04N5/7613,3,ユーザーが入力したデータおよびレコーダーに組み込まれたレファレンス・タイミング・クロック（時計）を用いるもの［７］,録画予約の内、マニュアルで予約するもの,-,5C052
227,H04N5/7617,3,ユーザーが入力したデータおよび放送局が送信したレファレンス・データを用いるもの［７］,録画予約の内、放送された番組情報により予約するもの。例、放送時間変更の情報を受信して録画タイミングを変更するもの,-,5C052
228,H04N5/765,2,記録装置と他の装置の間のインタフェース回路［６］,記録装置以外のものと接続するもの 例．ホームネットワーク、プリンタ接続,"H04N5/262（スタジオ回路） H04N5/38（送受信機回路） G11B31/00 G11B33/00 H04N21/436 G06F13/00,357@A(ホームネットワーク)",5C052
229,H04N5/77,3,記録装置とテレビカメラとの間のもの［６］,記録装置とテレビカメラを接続するもの,H04N7/18（閉回路テレビジョン） H04N5/225（テレビジョンカメラ）,5C052
230,"H04N5/77,200",4,記録装置とテレビジョンカメラが同一筐体に設置されるもの,記録装置とテレビカメラを接続するものテレビカメラが一体型のもの 記録媒体内蔵のビデオカメラ等,H04N5/225（テレビジョンカメラ）,5C052
231,H04N5/775,3,記録装置とテレビ受信機との間のもの［６］,記録装置とテレビ受信機を接続するもの,H04N5/44（受信機回路）,5C052
232,"H04N5/775,500",4,記録器が，テレビ受信機のアンテナに接続され又は結合されるもの,記録装置がテレビ受信機のアンテナ入力に接続されるもの,-,5C052
233,H04N5/78,2,磁気記録を用いるもの（Ｈ０４Ｎ５／９１が優先）［３］,磁気記録に特徴がない限り、主分類にはならない。,-,5C017
234,"H04N5/78,050",3,誘導型，例．磁気光学，熱磁気，磁気歪または電磁気，のヘッドを使わない記録または再生（静電記録Ｈ０４Ｎ５／８０，写真記録Ｈ０４Ｎ５／８４）,-,-,5C017
235,H04N5/781,3,ディスクまたはドラムに記録するもの［３］,磁気記録のうち、ディスクまたはドラムに記録することに特徴を有するもの,-,5C017
236,H04N5/782,3,テープに記録するもの［３］,磁気記録のうち、テープに記録することに特徴を有するもの,G11B 5/027 G11B15/46－15/58 G11B27/00 G11B31/00 その他G11B全般,5C018
237,"H04N5/782,060",4,特殊なトラック構成を用いて記録するもの，例．交差または重畳,-,-,5C018
238,"H04N5/782,130",4,磁気テープの異なる深さに記録する含むもの,-,-,5C018
239,H04N5/7822,4,静止磁気ヘッドをもつもの［６］,-,-,5C018
240,H04N5/7824,4,回転磁気ヘッドをもつもの［６］,-,-,5C018
241,H04N5/7826,5,磁気テープのヘリカル走査を伴うもの［６］,-,-,5C018
242,"H04N5/7826,300",6,テープの進行方向に関し斜めのトラック上に記録するためのもの,-,-,5C018
243,"H04N5/7826,600",7,１つのテレビジョンフィールド，またはフレームを記録するために２以上のトラックを使用するもの，すなわちセグメント化記録,-,-,5C018
244,H04N5/7828,5,磁気テープの横断走査を伴うもの［６］,-,-,5C018
245,H04N5/783,4,記録速度と異なった速度で再生するために適したもの［３］,特殊再生するもの全般 例．可変速再生、レジューム再生等 なお、タイムシフト再生、追っかけ再生については必ず付与,-,5C018
246,H04N5/784,3,シート上に記録するもの［６］,-,-,5C018
247,H04N5/80,2,静電記録を用いるもの（Ｈ０４Ｎ５／９１が優先）［３］,-,-,5C052
248,"H04N5/80,500",3,ディスクまたはドラム上に記録するもの,-,-,5C052
249,H04N5/82,3,変形可能な熱可塑性記録媒体を用いるもの,-,-,5C052
250,H04N5/83,4,ディスクまたはドラムに記録するもの［３］,-,-,5C052
251,H04N5/84,2,光学的記録を用いるもの（Ｈ０４Ｎ５／８０，Ｈ０４Ｎ５／８９，Ｈ０４Ｎ５／９１が優先）［３，４］,-,-,5C052
252,"H04N5/84,300",3,フィルム上に記録するもの,-,H04N 1/23 H04N 1/387 H04N 1/411 G03B27/00(特にG06B27/32),5C052
253,"H04N5/84,600",4,間欠的に動作するフィルムに記録するもの,-,-,5C052
254,H04N5/85,3,ディスクまたはドラムに記録するもの［３］,原則、副分類。 クレーム、主実施例がＤＶＤ、ＣＤ等の場合には付与する。,-,5C052
255,H04N5/87,3,テレビジョン信号から映画フィルムの作製［３，４］,-,-,5C052
256,H04N5/89,2,ホログラフィ記録を用いるもの（Ｈ０４Ｎ５／９１が優先）［３］,-,-,5C052
257,H04N5/90,3,ディスクまたはドラムに記録するもの［３］,-,-,5C052
258,H04N5/903,2,可変電気容量記憶を用いるもの（Ｈ０４Ｎ５／９１が優先）［４］,-,-,5C052
259,H04N5/907,2,静的記憶手段，例．蓄積管，半導体メモリ，を用いるもの（Ｈ０４Ｎ５／９１が優先）［４］,最終媒体としてメモリを用いているもの。クレーム中で半導体メモリを用いる旨記載されていれば必ず付与。,-,5C052
260,H04N5/91,2,以上のためのテレビジョン信号処理［３］,記録のためのテレビジョン(輝度)信号処理,G11B27/02-(編集),5C053
261,H04N5/911,3,雑音抑制のためのもの［６］,-,-,5C053
262,H04N5/913,3,スクランブルのためのもの［６］,ダビング防止するもの,-,5C053
263,H04N5/915,3,フィールドスキップまたはフレームスキップの記録用または再生用［６］,間欠的に記録を行うもの,-,5C053
264,"H04N5/915,500",4,音声多重化を有するもの,-,-,5C053
265,H04N5/917,3,帯域圧縮用［６］,-,-,5C053
266,H04N5/919,4,複数の記録チャンネル中のサンプリング点または信号のセグメント，例．走査線，を分割することによるもの［６］,-,-,5C053
267,H04N5/92,3,記録のためのテレビジョン信号の変換，例．変調，周波数変換；再生のための逆変換［３］,記録のためのテレビジョン（輝度）信号の変換（入力信号を別の形態の信号に変換するもの）、及びその逆変換,-,5C053
268,"H04N5/92,010",4,付加信号およびビデオ信号の多重化処理を伴うもの,主ビデオ信号以外の信号も記録することに特徴があるもの,-,5C053
269,"H04N5/92,020",5,付加信号が音声であるもの（Ｈ０４Ｎ５／９１５５，Ｈ０４Ｎ５／９２　が優先）,音声信号を記録することに特徴があるもの,-,5C053
270,"H04N5/92,030",6,時分割多重化処理を使用するもの,-,-,5C053
271,"H04N5/92,040",6,周波数多重化処理を使用するもの,-,-,5C053
272,"H04N5/92,050",5,付加信号が少なくとも他のテレビジョン信号であるもの,関連する複数の動画を記録するもの 例．主映像に副映像が付随するもの、マルチアングル等、１つのコンテンツが複数のテレビジョン信号であるもの １つの映像信号を複数のチャンネルに分割するものはＨ０４Ｎ５／９１９,-,5C053
273,"H04N5/92,060",5,付加信号がキャラクタコード信号であるもの,キャラクタコードを記録することに特徴のあるもの 例．コメント入力、放送用でない画像の字幕入力、メタデータ記録,-,5C053
274,"H04N5/92,070",6,文字放送用,文字放送を記録することに特徴のあるもの,-,5C053
275,"H04N5/92,080",6,サブコードの使用を含むもの,-,-,5C053
276,H04N5/921,4,ベースバンド信号の記録または再生によるもの［６］,-,-,5C053
277,H04N5/922,4,搬送波上の信号の変調によるもの，例．振幅または周波数変調［６］,-,-,5C053
278,H04N5/923,4,変調前の信号のプリエンファシスおよび変調後の信号のディエンファシスを用いるもの［６］,-,-,5C053
279,H04N5/924,4,パルス幅変調を用いるもの［６］,-,-,5C053
280,H04N5/926,4,パルス符号変調によるもの（Ｈ０４Ｎ５／９１９が優先）［６］,記録媒体へデジタル信号の形で記録するもの,-,5C053
281,"H04N5/926,100",5,データ圧縮を伴うもの,符号化（圧縮）に特徴を有するもの。映像信号の符号化一般はＨ０４Ｎ１９／,-,5C053
282,"H04N5/926,200",6,予測符号化を使用するもの,-,-,5C053
283,"H04N5/926,400",6,変換符号化を使用するもの,-,-,5C053
284,"H04N5/926,500",5,音声信号処理を伴うもの,-,-,5C053
285,"H04N5/926,700",6,ＰＣＭ音声およびＰＣＭ映像信号の時分割多重処理を使用するもの,-,-,5C053
286,"H04N5/926,800",7,ＰＣＭ映像信号の垂直帰線期間にＰＣＭ音声信号を挿入するもの,-,-,5C053
287,H04N5/928,4,音声信号が，パルス符号変調されて，被変調映像信号と時分割多重記録されるもの［６］,-,-,5C053
288,H04N5/93,3,テレビ信号またはその選択された部分の再生［３］,再生時特有の信号処理、変換に関するもの。特殊再生はH04N5/783 例．スライドショー、プレイリスト再生、ダイジェスト再生,H04N5/76-5/92 G11B20/00 G11B27/10 G11B31/00,5C053
289,"H04N5/93,050",4,再生された映像信号と記録されていない信号，例．テキスト信号，との混合を含むもの,"再生時のOSDに特徴のあるもの 記録されていなければビデオや図形も含む。例．監視カメラ映像やお絵かき図形の重畳。 テキストであっても記録されているテキスト信号(字幕,番組解説等)を重畳表示するものは含まない。",-,5C053
290,H04N5/931,4,再生信号のレベルを回復するためのもの［６］,-,-,5C053
291,"H04N5/931,500",5,周波数依存性のあるレベル制御（Ｈ０４Ｎ５／９２３が優先）,ＦＭ変調磁気記録に伴う輝度信号の劣化の補償。イコライザ。（画質の調整　中高域強調　--->　シャープな画面。　減衰 ---> ソフトな画面。）,-,5C053
292,H04N5/932,4,アナログ同期信号の再発生［６］,-,-,5C053
293,H04N5/935,4,デジタル同期信号の再発生［６］,-,-,5C053
294,H04N5/937,4,中間記憶媒体に画素ブロックを集めることによるもの［６］,再生時等において、バッファの使い方に特徴のあるもの。,H04N5/907(最終記録先が半導体メモリのものはこちら) G11B5/027 G11B20/00 G11B20/10 G11B27/00 G06F12/00,5C053
295,H04N5/94,4,ドロップアウトの補償［３］,輝度信号のドロップアウトの補償に関するもの。,H04N9/88,5C053
296,H04N5/945,5,パルス符号変調により記録された信号用［６］,-,-,5C053
297,H04N5/95,4,時間軸誤差の補償［３］,再生時の輝度信号の時間軸のゆらぎ（信号処理系、テープのたるみ、ドラムの回転のゆらぎ等に起因)を補償するもの。,H04N9/89,5C053
298,H04N5/953,5,アナログメモリを用いるもの，例．電圧制御発振器によって遅延量が制御されるＣＣＤシフトレジスタ［６］,-,-,5C053
299,H04N5/956,5,独立した書き込みおよび読み取りクロック発生器をもつデジタルメモリを用いるもの［６］,再生信号(中の同期信号、バースト信号)に同期したクロックで再生信号をメモリに取り込むことによって再生信号の時間軸誤差に追従した形でメモリに記憶し、それを安定した基準クロックのタイミングで取り出すことにより時間軸誤差を補償するもの。,-,5C053
